








MoveXY | 0 | 0 | 1 | 112      
MoveXY | 0 | 1 | 2 | 0        
MoveXY | 0 | 0 | 1 | 392      
MoveXY | 0 | 1 | 2 | 768      
MoveXY | 0 | 0 | 1 | 1904     
MoveXY | 0 | 1 | 2 | 7440     
MoveXY | 0 | 0 | 1 | 2016     
MoveXY | 0 | 1 | 2 | 9840     
MoveXY | 0 | 0 | 1 | 2184     
MoveXY | 0 | 1 | 2 | 11856    
MoveXY | 0 | 0 | 1 | 3528     
MoveXY | 0 | 1 | 2 | 24864    
MoveXY | 0 | 0 | 1 | 3640     
MoveXY | 0 | 1 | 2 | 26160    
MoveXY | 0 | 0 | 1 | 2296     
MoveXY | 0 | 1 | 2 | 13248    
MoveXY | 0 | 0 | 1 | 3248     
MoveXY | 0 | 1 | 2 | 22224    
MoveXY | 0 | 0 | 1 | 3360     
MoveXY | 0 | 1 | 2 | 23520    
MoveXY | 0 | 0 | 1 | 2408     
MoveXY | 0 | 1 | 2 | 14592    
MoveXY | 0 | 0 | 1 | 2968     
MoveXY | 0 | 1 | 2 | 19776    
MoveXY | 0 | 0 | 1 | 3080     
MoveXY | 0 | 1 | 2 | 20976    
MoveXY | 0 | 0 | 1 | 2520     
MoveXY | 0 | 1 | 2 | 15888    
MoveXY | 0 | 0 | 1 | 2688     
MoveXY | 0 | 1 | 2 | 17232    
MoveXY | 0 | 0 | 1 | 2800     
MoveXY | 0 | 1 | 2 | 18480    
MoveXY | 0 | 0 | 1 | 504      
MoveXY | 0 | 1 | 2 | 2304     
MoveXY | 0 | 0 | 1 | 672      
MoveXY | 0 | 1 | 2 | 3264     
MoveXY | 0 | 0 | 1 | 784      
MoveXY | 0 | 1 | 2 | 4560     
MoveXY | 0 | 0 | 1 | 896      
MoveXY | 0 | 1 | 2 | 5040     
MoveXY | 0 | 0 | 1 | 1008     
MoveXY | 0 | 1 | 2 | 5520     
MoveXY | 0 | 0 | 1 | 1120     
MoveXY | 0 | 1 | 2 | 6000     
MoveXY | 0 | 0 | 1 | 1232     
MoveXY | 0 | 1 | 2 | 6480     
MoveXY | 0 | 0 | 1 | 1344     
MoveXY | 0 | 1 | 2 | 6960
